Name,Team,position,ovr rating,age,college,awareness rating,throw power rating,kick return rating,lead block rating,strength rating,b c vision rating,catch in traffic rating,play action rating,pursuit rating,medium route running rating,catching rating,acceleration rating,spin move rating,height,finesse moves rating,spectacular catch rating,run block rating,tackle rating,injury rating,zone coverage rating,weight,plyr birthdate,deep route running rating,years pro,total salary,trucking rating,throw accuracy short rating,juke move rating,play recognition rating,short route running rating,jersey num,break sack rating,speed rating,run block power rating,jumping rating,toughness rating,throw on the run rating,man coverage rating,stiff arm rating,power moves rating,iteration,release rating,hit power rating,throw accuracy mid rating,kick accuracy rating,pass block power rating,impact blocking rating,portrait id,stamina rating,carrying rating,break tackle rating,kick power rating,plyr handedness,throw under pressure rating,signing bonus,pass block rating,press rating,throw accuracy deep rating,block shedding rating,run block finesse rating,agility rating,elusiveness rating,pass block finesse rating,,primary key,encrypted id
Janoris Jenkins,NYG,CB,80,30,N. Alabama,80,12,75,15,53,77,52,6,72,15,74,92,75,70,54,84,30,61,89,78,190,10/29/1988,10,7,47850000,30,6,85,81,25,20,20,89,30,85,90,6,82,33,32,1,20,50,6,10,30,45,5269,94,54,72,12,Right,12,15000000,35,83,6,52,30,93,83,25,,11437,nc5kmo3onolscc0c3uddp41ga4
Duke Johnson Jr,CLE,HB,80,25,Miami,77,40,76,32,70,80,75,10,25,70,74,90,83,69,5,78,29,36,88,15,210,9/23/1993,64,4,14210000,61,30,92,21,79,29,20,89,25,85,71,10,10,84,5,1,63,20,25,25,43,30,7191,86,82,82,22,Right,12,3490000,63,15,15,32,24,93,85,39,,2403,pimdnvb54fj0gdj0psru1vohf4
Ron Leary,DEN,LG,80,30,Memphis,88,35,11,89,87,10,48,6,39,25,52,76,10,75,10,37,85,42,86,12,320,4/29/1989,17,7,32040000,25,6,10,10,35,65,12,62,81,77,75,6,12,10,10,1,15,20,6,21,79,88,5307,78,50,6,25,Left,13,3820000,77,10,6,40,86,55,11,75,,11713,m8t8act6u33v4ggtlnalk5g1do
Marqise Lee,JAX,WR,80,27,USC,85,42,81,34,54,85,83,18,30,84,86,90,81,72,10,86,51,25,85,25,196,11/25/1991,82,5,26250000,49,37,88,20,84,11,26,89,33,90,84,30,13,65,10,1,78,12,30,30,20,54,6964,95,76,83,30,Right,26,7000000,35,18,23,40,29,92,85,25,,12342,rcj3icomp1m9seoah5qaf4iv40
Corey Linsley,GB,C,80,28,Ohio State,87,26,10,82,91,10,10,6,30,5,35,79,10,75,10,12,76,29,87,12,301,7/27/1991,5,5,19250000,24,6,10,10,10,63,12,70,75,75,84,6,12,10,10,1,12,12,6,22,80,83,6494,82,39,6,22,Right,16,9100000,80,10,6,10,78,66,11,81,,2084,sjedp80m39er88famvq3g8al4c
Taylor Moton,CAR,LT,80,25,W. Michigan,88,20,10,76,87,23,15,6,28,5,28,77,10,77,10,29,83,31,97,12,325,8/18/1994,5,2,2990000,29,18,15,10,13,72,12,66,76,75,96,12,12,14,10,1,12,36,13,21,81,80,8669,84,23,10,22,Right,7,1160000,82,10,6,34,85,65,20,84,,12636,nv16s6ig0tg1iub78k9eu5pnps
Michael Palardy,CAR,P,80,27,Tennessee,68,34,10,18,49,40,10,20,24,10,22,85,21,71,10,12,19,29,81,15,200,7/6/1992,10,4,5850000,13,30,30,28,10,5,17,81,19,49,60,20,12,29,10,1,12,17,22,89,15,18,7569,89,20,10,92,Left,14,2400000,14,10,21,27,19,58,20,13,,12402,065naef2i8h0ddj0tl22u2lqq8
Dante Pettis,SF,WR,80,23,Washington,77,42,88,22,50,89,79,23,32,85,86,92,78,73,10,86,45,30,88,24,200,10/23/1995,82,1,3460000,34,37,88,15,83,18,20,91,38,94,82,24,15,54,10,1,82,17,34,14,27,39,9018,91,75,75,20,Right,20,2920000,28,20,30,20,25,95,86,23,,13222,b2qi9hd7fo1j7kfa0tff2jotj8
Jordan Poyer,BUF,SS,80,28,Oregon State,79,30,65,12,66,60,45,6,86,25,72,91,65,72,54,65,35,70,87,84,191,4/25/1991,20,6,9850000,25,6,66,76,35,21,15,87,35,79,74,6,79,15,46,1,15,68,6,25,35,57,6322,93,65,30,25,Right,19,4170000,35,80,6,62,35,88,45,35,,12280,ff7bdai7mki1mh96niqu2nk1i0
Justin Simmons,DEN,FS,80,25,Boston College,78,26,48,10,66,58,47,15,87,12,73,91,60,74,36,64,18,74,88,71,202,11/19/1993,10,3,3650000,53,15,68,82,22,31,12,88,34,93,79,15,74,44,32,1,22,79,10,19,34,55,8214,96,62,47,20,Right,22,690000,13,63,10,67,33,96,62,33,,17758,t6tsmm2smgvkl2q4e2pqpl3bv8
Preston Smith,GB,ROLB,80,26,Mississippi St.,83,20,10,15,81,45,42,6,82,11,57,89,45,77,66,49,45,80,93,61,265,11/17/1992,6,4,36000000,45,6,48,80,21,91,12,82,45,83,76,6,54,45,83,1,35,80,6,30,45,75,7332,78,57,10,37,Right,17,16000000,45,42,6,70,45,81,25,45,,2534,64q3vs2t123t7uu3u7srpt8mtk
Jaquiski Tartt,SF,SS,80,27,Samford,78,21,35,18,65,45,44,6,80,10,66,91,49,73,59,62,35,73,92,80,215,2/18/1992,10,4,9070000,57,6,54,81,20,29,15,90,35,82,86,6,75,42,44,1,25,86,6,22,35,63,7344,87,62,30,19,Right,15,5280000,35,82,6,65,35,84,42,35,,2594,htccdfhkd2hr8a7223l0vdp0mk
Dalvin Tomlinson,NYG,LE,80,25,Alabama,87,23,14,32,88,33,22,6,84,5,34,79,16,75,60,24,45,87,88,29,317,2/28/1994,3,2,3110000,37,6,28,89,13,94,12,66,46,68,87,6,22,39,76,1,15,81,6,17,44,82,8753,85,27,19,17,Right,16,1480000,45,15,6,83,45,61,24,45,,12595,odn5foo2lk6srnip1pbkmsef8c
Danny Trevathan,CHI,MLB,80,29,Kentucky,90,20,10,22,68,28,15,6,85,5,73,86,24,73,52,20,45,91,85,77,239,3/24/1990,5,7,22600000,28,6,40,85,15,59,12,80,45,82,87,6,66,40,64,1,35,82,6,30,45,83,5525,92,45,10,37,Right,14,5400000,45,40,6,68,45,80,15,45,,11565,5h0grbpp5lmlktar29chd9sdos
Trai Turner,CAR,RG,80,26,LSU,88,15,10,85,88,10,10,6,21,5,45,82,10,75,10,12,82,34,92,12,315,6/14/1993,5,5,31800000,20,6,10,10,10,70,12,74,83,75,86,6,12,10,10,1,12,20,6,33,78,86,6617,80,40,6,24,Right,14,15130000,77,10,6,34,81,62,11,76,,11453,hja4r9svft82n1ent5c63cpap4
Vita Vea,TB,DT,80,24,Washington,71,24,10,42,97,55,24,10,83,17,26,81,43,76,56,18,52,81,92,29,347,2/5/1995,16,1,5960000,68,20,59,74,18,50,18,69,52,70,97,13,23,53,80,1,15,89,16,16,45,91,9093,82,29,46,15,Right,12,8880000,45,22,13,80,48,73,42,45,,13091,63f5a5tuqrlgihesiqpc18pfqk
Larry Warford,NO,RG,80,28,Kentucky,86,25,10,75,90,15,15,6,37,10,32,76,10,75,10,12,74,31,88,26,317,6/18/1991,10,6,25400000,25,6,10,28,10,67,12,56,77,56,87,6,20,10,25,1,12,20,6,20,83,85,6142,87,45,5,26,Right,10,8600000,82,10,6,21,76,57,10,81,,995,v271grg97oalmot0g1a4tj7ric
Damien Williams,KC,HB,80,27,Oklahoma,83,28,75,47,67,82,74,15,46,61,70,91,82,71,10,73,53,35,89,14,224,4/3/1992,53,5,4490000,74,35,88,25,68,26,25,90,40,85,74,15,14,74,10,1,68,12,30,11,33,45,6641,86,84,84,17,Right,17,1800000,60,10,20,22,41,88,82,27,,2315,v9ticnescakq210b0rt6vhlios
Quinnen Williams,NYJ,DT,80,21,Alabama,74,23,9,39,89,26,22,6,84,8,34,86,24,75,70,21,45,83,91,30,303,12/20/1997,5,0,10160000,41,6,29,77,13,95,12,78,46,75,90,6,18,34,76,1,15,84,6,17,44,88,9679,77,39,16,17,Right,12,21600000,44,14,6,81,45,82,28,45,,20547,sjmoq67hu4q0i21p2c6e2lr998
Derek Wolfe,DEN,LE,80,29,Cincinnati,84,20,10,17,89,15,10,6,85,3,34,83,10,77,55,15,45,86,89,29,285,2/24/1990,2,7,28000000,41,6,10,86,10,95,12,74,45,80,87,6,22,25,78,1,12,72,6,10,45,87,5572,91,40,10,10,Right,14,8720000,45,15,6,82,45,72,20,45,,11303,t9sq4qpkp26jrtbmvmjj6gno58
Greg Zuerlein,LAR,K,80,31,Missouri W State,68,26,10,12,38,10,10,20,15,10,35,81,10,72,10,12,12,23,95,12,191,12/27/1987,10,7,6810000,10,35,10,10,10,4,16,74,12,62,55,20,12,10,10,1,12,12,30,89,17,12,6182,85,39,9,95,Right,19,2150000,17,10,25,13,12,66,19,17,,11598,7eahpdeked8avm6nmo9tfc7lc4
Henry Anderson,NYJ,RE,79,28,Stanford,81,19,10,17,86,33,21,6,81,3,44,82,10,78,60,24,45,84,82,29,301,8/3/1991,2,4,9200000,44,6,10,84,10,96,12,73,45,74,85,6,25,25,85,1,15,76,6,25,45,87,6999,74,45,10,17,Right,14,15990000,45,12,6,73,45,72,15,45,,2539,okkct5dep417gq61nct4c6gp00
Mark Andrews,BAL,TE,79,23,Oklahoma,74,25,10,49,80,82,79,5,32,77,81,90,67,77,10,78,61,27,88,15,253,9/6/1995,74,1,2620000,71,15,79,15,75,89,16,86,58,78,76,10,12,78,10,1,62,25,10,10,49,67,8802,86,74,61,12,Right,15,820000,53,10,5,28,61,75,72,53,,13112,ok957a528hih5c94tlpk095u6k
Travis Benjamin,LAC,WR,79,29,Miami,80,30,92,23,38,89,82,10,19,82,81,91,83,70,20,84,50,20,81,20,175,12/29/1989,84,7,5500000,37,10,94,15,78,12,27,92,32,90,62,10,15,39,15,1,74,12,10,15,13,43,5044,92,74,75,20,Right,20,4250000,26,13,10,35,29,94,88,15,,11454,v27fegbp6emt0setgk22jttc5k
Giovani Bernard,CIN,HB,79,27,North Carolina,77,30,82,39,61,77,76,15,40,65,70,93,84,69,30,64,44,35,83,29,205,11/22/1991,59,6,10970000,52,35,87,15,70,25,23,91,35,81,69,15,19,64,20,1,71,20,30,15,48,37,5690,93,87,76,23,Right,11,4200000,59,20,20,32,30,93,81,43,,323,6ahif8t1icoon7pc0fej3me56k
James Bradberry,CAR,CB,79,26,Samford,81,21,65,12,67,67,43,6,76,18,67,92,70,73,36,61,13,60,89,78,210,8/4/1993,11,3,2730000,25,6,71,79,28,24,10,91,35,87,86,6,80,25,27,1,12,76,6,21,35,52,7905,88,62,60,29,Right,12,1230000,10,81,6,53,35,86,70,35,,17825,qer7vo1s54cbuec53ei2s248nc
Cameron Brate,TB,TE,79,28,Harvard,87,20,8,49,72,69,81,6,40,73,85,86,66,77,10,87,60,40,91,13,245,7/3/1991,66,5,40800000,63,15,70,15,76,84,18,80,59,83,75,10,12,63,10,1,76,20,10,22,54,64,7026,84,76,58,24,Right,16,0,55,10,6,51,54,77,58,51,,2377,jfpkgl9t3543hjum07gkrlgv20
John Brown,BUF,WR,79,29,Pittsburg St.,86,35,81,25,41,89,77,6,35,83,81,90,85,71,10,85,47,25,87,35,179,4/3/1990,85,5,16900000,39,15,91,20,80,82,22,94,38,91,65,10,10,47,10,1,74,12,10,30,23,45,6363,88,75,79,30,Right,24,10100000,30,15,6,35,31,88,89,20,,10839,q2lk1uc9nsjkns1f0f5j9lgqqk
Anthony Brown,DAL,CB,79,25,Purdue,78,27,56,13,69,59,52,6,70,16,65,91,68,71,33,61,11,57,91,77,196,12/15/1993,11,3,3670000,26,6,70,80,26,30,10,95,33,86,88,6,78,29,26,1,27,62,6,17,33,54,7914,90,63,55,18,Right,10,120000,10,80,6,57,34,86,65,34,,17704,f0i8pns9rr4h2p62qhomb8lrl0
Orlando Brown Jr,BAL,RT,79,23,Oklahoma,77,25,10,73,91,15,12,6,18,12,23,69,10,80,10,12,81,33,93,15,345,5/2/1996,12,1,2630000,39,6,11,15,12,78,12,50,82,53,87,6,12,27,10,1,12,36,6,13,87,86,8826,84,28,14,19,Right,15,860000,85,10,6,32,78,60,10,80,,13083,plvguiof2cpk6sqvml762umako
Harrison Butker,KC,K,79,24,Georgia Tech,69,22,10,15,44,28,10,20,12,10,30,82,15,75,10,12,18,15,87,15,205,7/14/1995,10,2,650000,17,33,28,17,10,7,14,75,15,58,63,20,15,16,10,1,12,12,25,84,16,15,8498,82,26,14,93,Right,24,0,19,10,25,12,20,57,24,15,,12863,q5b9kqi3i96elqk7120rqcrj196lr23h9ltp6qa9t0vu6675dkc0
Malcolm Butler,TEN,CB,79,29,West Alabama,79,21,42,17,63,60,45,6,64,10,68,89,65,71,42,60,35,68,90,77,190,3/2/1990,10,5,50850000,10,6,66,82,20,21,10,90,35,82,72,6,79,28,37,1,12,72,6,21,35,57,7035,88,55,48,29,Right,13,10400000,35,85,6,43,35,92,58,35,,2318,5s2h6g2nq6hmac45p8g7ondfvk
De'Vondre Campbell,ATL,ROLB,79,26,Minnesota,85,24,10,18,73,41,45,6,82,9,56,87,28,76,61,48,29,89,90,70,232,7/1/1993,5,3,3670000,28,6,31,81,18,59,12,85,45,83,85,6,62,33,48,1,12,79,6,20,45,78,7935,86,45,16,20,Right,12,560000,23,44,6,63,45,86,31,45,,17784,uffq9noouhutft0silp2aolasu8uiiotbpobuj418761ltb1n5b0
Gareon Conley,LV,CB,79,24,Ohio State,81,27,45,12,73,64,52,6,72,16,67,91,68,72,35,62,35,59,86,75,195,6/29/1995,11,2,13170000,28,6,76,82,26,21,13,91,35,88,80,6,78,48,27,1,31,52,6,14,35,52,8514,91,61,53,15,Right,13,5760000,35,82,6,49,35,90,63,35,,12565,sbj394p6gnci841c9sb39kr7is
Tyrone Crawford,DAL,RE,79,29,Boise State,82,31,10,15,86,22,10,9,82,3,30,83,15,76,68,15,45,82,83,43,295,11/22/1989,2,7,30180000,30,9,20,85,10,98,12,77,45,84,83,9,33,30,83,1,12,79,9,21,45,86,5121,82,40,10,22,Right,17,15740000,45,25,9,78,45,77,15,45,,11519,6g8cg52fg9d0q5evkilch62ncg
Dominique Rodgers-Cromartie,WAS,CB,79,33,Tennessee St.,81,40,74,18,60,80,55,6,66,35,78,90,84,74,45,85,35,48,86,76,205,4/7/1986,28,10,690000,30,6,86,78,45,45,15,92,35,91,65,6,80,30,32,1,50,50,6,25,35,48,2571,92,62,71,25,Right,17,0,35,82,6,42,35,90,80,35,,28388,s57spbn3v6gevhnp9emnhhqp0p91hmsvi80inachsugg33j45p60
Jamison Crowder,NYJ,WR,79,26,Duke,80,35,86,25,58,87,84,6,35,81,85,92,87,69,10,80,41,25,88,25,177,6/17/1993,78,4,11500000,37,15,92,20,83,82,26,91,14,88,80,10,10,48,10,1,76,12,10,30,23,45,7066,92,66,83,30,Right,20,16780000,30,15,6,35,11,95,86,20,,2450,7im0nimm15m25r16i3qugucqrs
Isaiah Crowell,LV,HB,79,26,Alabama St.,84,32,70,42,75,84,62,15,44,51,64,91,78,71,10,53,45,40,88,13,225,1/8/1993,43,5,950000,83,35,90,21,58,22,19,88,35,88,75,15,15,75,10,1,59,12,30,22,26,40,6389,85,88,79,20,Left,16,300000,48,10,20,39,35,87,78,22,,2158,reudih3l2vprllr1dnlve7vg5k
Thomas Davis Sr,LAC,ROLB,79,36,Georgia,88,17,10,27,72,35,30,6,86,8,72,83,48,73,55,64,45,88,82,69,235,3/22/1983,5,14,5750000,45,6,62,85,15,58,12,82,45,84,99,6,62,49,64,1,25,91,6,20,45,90,913,94,65,32,21,Right,13,4750000,45,55,6,71,45,85,41,45,,26761,n23tdr25ok71fveo966fot7ogc
Kenyan Drake,MIA,HB,79,25,Alabama,80,26,84,52,65,81,61,17,38,61,68,89,83,73,12,60,31,33,84,19,216,1/26/1994,53,3,3810000,64,26,90,20,65,32,20,91,20,83,74,22,14,78,11,1,52,21,27,20,42,54,7984,87,86,78,21,Right,11,810000,44,16,20,26,16,90,80,38,,17585,blphc0di1g4sjmapj2rb3m1acg
Quincy Enunwa,NYJ,WR,79,27,Nebraska,85,24,35,34,69,84,82,6,49,83,83,91,74,74,10,85,63,47,93,18,225,5/31/1992,80,5,27310000,71,15,79,22,85,81,22,89,39,88,82,10,18,72,10,1,80,15,10,20,23,54,6406,89,74,81,21,Right,23,9000000,41,15,6,47,32,89,80,15,,2069,9plf25oj8i84qvkpa14u6qikm4
Gerald Everett,LAR,TE,79,25,South Alabama,73,25,40,53,69,79,80,6,37,65,84,88,62,75,10,81,67,36,88,12,245,6/25/1994,62,2,3510000,77,15,81,23,69,81,13,85,60,89,83,10,12,76,10,1,65,28,10,11,57,68,8549,85,75,77,15,Right,10,2520000,58,25,6,30,66,82,76,53,,12583,a6h11lef170uqi3gb801qjela4
Tre Flowers,SEA,CB,79,24,Oklahoma St.,80,26,35,19,66,59,51,6,72,12,62,92,59,75,40,60,35,68,90,82,203,6/2/1995,10,1,2460000,45,6,65,83,22,37,27,90,35,83,84,6,76,44,33,1,22,74,6,10,35,57,8890,89,60,44,19,Right,10,280000,35,74,6,56,35,83,53,35,,13299,omb1ihn1p2iros8crbpia87lfg
Graham Gano,CAR,K,79,32,Florida State,63,26,10,12,63,10,10,20,15,10,35,77,10,74,10,12,12,34,89,12,205,4/9/1987,10,10,10650000,10,35,10,10,10,9,14,75,12,36,60,20,12,36,10,1,12,12,30,85,17,12,1203,80,35,5,99,Right,17,6360000,17,10,25,13,12,64,14,17,,28887,4t4f88pisddagrdvmcqdlk269g
Da'Shawn Hand,DET,LE,79,23,Alabama,83,22,10,20,92,26,20,6,83,8,27,84,23,75,64,18,45,83,87,28,297,11/14/1995,4,1,2460000,34,6,29,85,15,93,12,78,45,77,85,6,20,32,77,1,13,79,6,16,45,86,8910,78,28,17,33,Right,14,680000,45,20,6,82,45,58,24,45,,13241,vkdgk8vsdgijko08cvpo71l4tt6lr23h9ltp6qa9t0vu6675dkc0
Javon Hargrave,PIT,DT,79,26,S.C. State,84,23,9,32,88,18,14,6,82,5,28,85,17,74,83,16,45,80,89,26,305,2/7/1993,3,3,3750000,29,6,16,86,13,79,12,75,46,82,88,6,18,25,63,1,15,80,6,17,44,82,8035,84,30,10,17,Right,11,680000,44,13,6,70,45,70,15,45,,17670,1r592op26gesuh5lt1qql2efp4
Tyler Higbee,LAR,TE,79,26,W. Kentucky,84,26,18,50,79,76,79,10,33,64,83,84,58,78,17,84,73,34,88,21,257,1/1/1993,60,3,3660000,74,22,65,22,67,89,12,80,65,83,89,21,14,63,17,1,63,27,18,19,61,65,8050,87,78,63,21,Right,16,600000,62,17,16,32,72,85,60,58,,17644,fpouj7kantqpciraq6mq9b2670
Kenny Moore II,IND,CB,79,24,Valdosta St.,82,17,72,18,60,48,53,6,75,28,60,91,71,69,56,63,25,59,88,82,190,8/23/1995,21,2,1680000,53,6,75,87,38,23,11,89,35,94,77,6,78,48,43,1,40,56,6,24,35,61,9244,89,53,51,21,Right,10,0,25,73,6,58,35,90,61,35,,12965,u830c4l2ie6eq8emd69oo5h9ds
Rodney McLeod Jr,PHI,FS,79,29,Virginia,80,21,68,13,60,57,35,6,63,13,64,91,65,70,59,64,35,71,92,83,195,6/23/1990,10,7,1680000,46,6,59,77,15,23,11,86,35,89,77,6,80,44,52,1,25,81,6,19,35,58,5975,90,65,46,17,Right,19,3160000,35,73,6,43,35,93,61,35,,11813,eofcjh7pghuif5jf05sijlir44
Ed Oliver Jr,BUF,DT,79,21,Houston,72,25,10,30,89,31,24,6,84,8,31,87,29,73,71,20,45,84,92,32,287,12/12/1997,4,0,2000000,31,6,39,76,15,91,12,81,45,86,89,6,19,30,77,1,20,81,6,12,45,88,9589,84,32,20,15,Right,14,17580000,45,16,6,78,45,85,23,45,,20548,gtf7mv8ptpmfpgs9rl5tibmiic
Damontae Kazee,ATL,FS,79,26,San Diego St.,80,22,76,11,68,77,74,6,79,18,78,89,64,71,34,77,35,71,90,80,190,6/5/1993,13,2,2420000,27,6,76,78,28,27,13,88,35,82,82,6,75,37,26,1,24,80,6,25,35,52,8618,94,73,69,30,Right,14,280000,35,72,6,55,35,90,69,35,,12594,ble1urv0q7f973athifngen3d96lr23h9ltp6qa9t0vu6675dkc0
Josh Lambo,JAX,K,79,28,Texas AM,62,29,10,10,49,16,10,10,29,10,35,64,25,72,10,12,19,31,92,12,215,11/19/1990,10,4,12000000,15,35,21,10,10,4,15,67,10,72,55,11,12,11,10,1,12,11,33,90,10,10,7525,85,45,15,96,Right,16,3520000,16,10,25,24,10,72,25,10,,2736,5f0949im4ghnj526r6sl74revg
Kyle Long,CHI,RG,79,30,Oregon,82,38,15,86,84,25,10,6,53,5,40,83,25,78,45,12,81,55,86,20,320,12/5/1988,5,6,12000000,35,6,22,39,10,75,12,72,82,70,97,6,15,39,61,1,15,62,6,14,82,84,5952,90,45,5,14,Left,15,3200000,80,10,6,61,77,69,10,80,,980,c818sauj01abkq7jbhhepvn1t0
Marcus Mariota,TEN,QB,79,25,Oregon,79,88,10,28,60,87,26,83,35,29,62,90,78,76,10,31,28,28,82,24,230,10/30/1993,19,4,20920000,40,88,74,31,39,8,74,88,20,89,97,87,10,64,10,1,23,25,85,36,15,43,6979,97,66,75,40,Right,88,0,20,10,87,25,20,89,79,15,,19983,vsj7lvg1ja3v1kuaqd7s1tpg7s
Jake Matthews,ATL,LT,79,27,Texas AM,88,25,10,86,86,28,35,6,50,18,40,83,15,77,30,25,80,45,98,15,305,2/11/1992,10,5,62050000,37,6,10,30,28,70,12,70,78,76,87,6,12,20,35,1,35,40,6,20,78,85,6514,91,45,23,22,Right,13,22950000,80,10,6,40,81,71,33,82,,12349,dsrpjntcggeigpc200bkbgn9ds
Bradley McDougald,SEA,FS,79,28,Kansas,84,27,65,16,67,74,65,6,72,39,77,86,72,73,50,74,35,75,89,80,215,11/15/1990,34,6,9500000,39,6,77,80,49,30,15,87,35,83,75,6,74,45,45,1,15,69,6,24,35,61,6722,90,67,50,28,Right,17,3990000,35,72,6,48,35,84,65,35,,14201,7pj4m301mae80dlvpheeh9osqo
Steve McLendon,NYJ,DT,79,33,Troy,83,35,10,35,86,10,15,6,80,7,33,78,10,75,52,15,45,89,90,20,310,1/3/1986,3,10,500000,10,6,10,84,15,99,12,62,45,67,80,6,15,10,74,1,15,72,6,25,45,85,4781,84,40,10,20,Right,17,2000000,45,10,6,82,45,68,10,45,,10142,9m6rpg8pkrl2q45annuohbli3g
Pernell McPhee,BAL,ROLB,79,30,Mississippi St.,76,12,10,25,92,10,15,6,81,6,42,81,14,75,69,15,45,83,85,68,265,12/17/1988,5,8,930000,28,6,15,75,15,90,12,77,45,67,85,6,58,10,82,1,30,84,6,18,45,85,4430,91,40,16,10,Right,12,100000,45,20,6,73,45,76,31,45,,10707,6fmeqb31hhi0qco1g2rn8l06a4
Cameron Meredith,NO,WR,79,26,Illinois St.,74,29,20,29,65,83,84,6,30,82,88,92,76,75,10,86,54,35,86,22,207,9/21/1992,81,4,2250000,58,15,81,30,83,81,22,89,36,90,85,10,19,65,10,1,80,15,10,18,30,49,7761,88,67,76,18,Right,15,4600000,45,15,6,40,30,91,76,25,,2776,fier2f2658c36rmhscrtigfd80
Latavius Murray,NO,HB,79,28,UCF,81,40,77,53,72,84,63,33,35,47,66,92,82,75,30,56,55,39,81,25,230,2/21/1991,39,6,7800000,88,35,85,35,54,28,19,90,46,86,78,32,18,87,30,1,55,45,33,22,43,50,6853,86,89,82,20,Right,17,6600000,60,15,30,35,45,88,75,38,,11943,arjhso81r6ddu2n7ro29nj28qd6lr23h9ltp6qa9t0vu6675dkc0
DeVante Parker,MIA,WR,79,26,Louisville,81,28,45,22,71,81,86,10,40,81,86,91,76,75,10,89,54,36,87,20,212,1/20/1993,79,4,5500000,66,30,81,20,81,11,22,91,36,90,84,20,10,67,10,1,82,12,25,12,20,42,7266,88,75,76,19,Right,24,4340000,39,10,20,35,30,88,66,19,,2437,6qsq20n0af4n3dofok5qvt3cok
Frank Ragnow,DET,LG,79,23,Arkansas,73,17,10,85,92,12,17,6,29,10,23,82,10,77,10,14,83,29,89,11,308,5/17/1996,5,1,5140000,22,6,10,21,15,77,12,73,84,80,95,6,10,10,10,1,15,30,6,16,80,85,9031,92,29,16,19,Right,12,6640000,79,10,6,27,81,58,13,77,,13110,0gl6hqq8qnd2ife677j5r8johc
Patrick Ricard,BAL,FB,79,25,Maine,71,23,9,95,90,64,52,6,67,43,60,82,59,75,66,45,71,79,79,58,311,5/27/1994,35,2,1680000,68,6,62,59,53,42,12,71,62,81,90,6,53,69,73,1,42,77,6,17,46,78,9274,86,68,56,17,Right,17,0,68,36,6,72,58,75,61,41,,12959,3qjenqascgskdgjnemnq1fvuv0
Calvin Ridley,ATL,WR,79,24,Alabama,77,26,68,23,59,84,79,6,33,83,80,93,86,73,10,83,52,29,86,25,190,12/20/1994,84,1,4900000,30,15,93,17,82,18,20,93,31,76,76,10,17,63,10,1,78,20,10,16,15,44,9038,90,70,69,19,Right,15,6000000,30,24,6,24,37,95,86,22,,13113,pjvdo7lf987ol0o0lg7gkjr5ek
Joe Schobert,CLE,MLB,79,25,Wisconsin,87,23,10,19,76,46,33,6,86,7,62,87,26,73,52,45,45,80,91,73,245,11/6/1993,5,3,3660000,33,6,35,90,17,53,12,83,44,85,92,6,65,36,54,1,22,79,6,18,44,79,8206,86,42,20,21,Right,10,640000,45,52,6,77,44,80,35,44,,17689,ddapqsv5qqmpb10hu7nd39dau4
Andrew Sendejo,PHI,FS,79,31,Rice,81,30,45,19,69,46,30,6,83,10,70,88,45,73,48,60,35,76,87,82,210,9/9/1987,10,9,800000,25,6,47,83,20,42,18,82,35,82,79,6,71,30,38,1,20,83,6,35,35,64,4865,89,65,25,45,Right,16,500000,35,65,6,61,35,84,40,35,,10492,bf1o07dhscstbat8ijde3e8hbo
Matthew Stafford,DET,QB,79,31,Georgia,80,94,10,17,67,72,15,86,29,14,26,78,39,75,10,15,22,28,91,22,220,2/7/1988,12,10,99000000,51,86,60,17,15,9,80,74,17,58,97,82,10,37,10,1,15,12,82,25,24,27,6302,96,63,51,28,Right,82,58000000,25,10,84,28,19,74,53,22,,20051,s9oq3ucifupghiqsrtbj4b7ga4
Chris Thompson,WAS,HB,79,28,Florida State,82,29,75,32,63,77,70,15,40,68,73,90,83,68,10,69,37,35,80,19,191,10/20/1990,62,6,6750000,53,35,89,22,73,25,25,91,24,86,74,15,15,57,10,1,70,12,30,21,40,30,6122,87,86,77,22,Right,17,3000000,48,20,20,32,35,91,81,35,,11911,l1uos2ij9h1o2mqebl99ijtcqo
J.C. Tretter,CLE,C,79,28,Cornell,84,41,10,79,89,39,64,12,21,22,60,80,45,76,23,62,79,32,85,12,307,2/12/1991,14,6,13000000,44,34,35,10,32,64,17,68,79,78,85,12,12,52,24,1,55,12,28,18,79,81,6130,88,65,15,19,Right,15,4500000,81,10,23,22,81,69,25,84,,11919,fvvkdo76991jd5q6vk6ophdrp8
Dede Westbrook,JAX,WR,79,25,Oklahoma,84,32,86,20,57,83,82,23,39,82,83,92,67,72,10,83,44,23,83,26,178,11/21/1993,76,2,2420000,46,27,88,20,84,12,24,93,13,83,77,28,17,67,10,1,76,26,22,24,23,40,8772,95,70,79,22,Right,20,640000,33,15,18,28,10,94,81,20,,12618,np2muvboa20ukti8fjbff4ctbk
Daryl Williams,CAR,RT,79,27,Oklahoma,78,25,11,77,87,10,15,6,25,5,25,74,10,78,10,12,84,39,89,12,330,8/31/1992,5,4,2300000,15,6,10,10,10,60,12,60,84,76,83,6,12,10,10,1,12,25,6,15,86,81,7378,79,40,5,28,Right,14,3000000,84,10,6,39,80,51,11,82,,2514,3jrrspni82p2khgiroskp2st9c
